LotArea,YearBuilt,YearRemodAdd,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,TotRmsAbvGrd
4456,1920,2008,736,716,2,2,8
7742,1966,1966,955,0,1,3,6
13869,1997,1997,794,676,2,3,6
6240,1934,1950,816,0,1,3,6
8472,1963,1963,816,0,1,2,5
50271,1981,1987,1842,0,0,0,5
7134,1955,1955,1360,0,1,3,6
10175,1964,1964,1425,0,2,3,7
2645,1999,2000,983,756,2,3,7
11645,2004,2004,860,860,2,3,7
13682,2006,2006,1426,1519,3,3,10
7200,1972,1972,780,0,1,2,4
13072,2004,2004,1158,0,1,3,5
7200,1920,1996,581,530,1,3,6
6442,2006,2006,1370,0,2,2,6
10300,1921,1950,902,808,2,3,9
9375,1997,1998,1057,977,2,3,8
9591,2004,2005,1143,1330,2,4,9
19900,1970,1989,2207,0,2,3,7
10665,2003,2003,1479,0,2,3,7
4608,1945,1950,747,0,1,2,4
15593,1953,1953,1304,983,2,3,7
13651,1973,1973,2223,0,2,3,8
7599,1982,2006,845,0,1,2,4
10141,1998,1998,885,833,2,3,7
10200,1954,2003,1086,0,1,3,6
5790,1915,1950,840,765,2,3,8
1596,1973,1973,526,462,1,2,5
8475,1956,1956,952,0,1,2,4
8635,1948,2001,1072,213,1,2,6
10778,1968,1968,1768,0,2,4,8
10440,1910,1981,682,548,1,2,5
13000,1968,1968,1182,960,2,4,8
4500,1998,1998,1337,0,2,2,5
10206,2007,2007,1563,0,2,3,6
8892,1960,1960,1065,0,1,3,6
8530,1995,1996,804,670,2,3,7
16059,1991,1992,1301,1116,2,4,9
11911,2005,2005,684,876,2,3,6
3951,2009,2009,612,612,2,2,4
8470,1915,1982,1013,0,1,2,6
8070,1994,1995,990,0,1,3,5
7200,1950,1950,1040,0,1,2,4
8500,1961,1961,1235,0,1,2,6
13360,1921,2006,964,0,1,2,5
7200,1910,1998,1260,1031,2,4,9
9337,1997,1997,905,881,2,3,7
9765,1993,1993,680,790,2,3,6
10264,1999,1999,1588,0,2,3,6
10921,1965,1965,960,0,1,3,6
10625,1920,1950,835,0,1,2,5
9320,1959,1959,1225,0,1,3,6
10603,1977,2001,1610,0,2,3,6
9206,1985,1985,977,755,2,3,7
7018,1979,1979,1535,0,2,4,8
10402,2009,2009,1226,0,2,3,6
7758,1931,1950,1226,592,1,4,7
9375,2003,2004,1053,939,2,3,9
10800,1885,1995,1047,0,1,2,6
6000,1948,1950,789,0,1,2,5
8500,1919,2005,997,520,2,3,7
11751,1977,1977,1844,0,2,3,7
9525,1954,1972,1216,639,2,4,7
7750,2000,2000,774,656,2,3,7
9965,2007,2007,1282,1414,2,4,10
21000,1953,1953,2259,0,2,3,7
7259,1945,2002,1436,884,2,3,9
3230,1999,1999,729,729,2,2,5
11616,1962,1962,1092,0,1,3,6
8536,2006,2007,1125,0,1,2,5
12376,1990,1990,1699,1523,3,5,11
8461,2005,2006,728,728,2,3,8
21453,1969,1969,988,0,1,1,4
6060,1939,1950,772,351,1,3,4
9464,1958,1958,1080,0,1,3,5
7892,1993,1993,1199,0,2,2,5
17043,1979,1998,1586,0,2,3,7
6780,1935,1982,520,0,1,2,5
4928,1976,1976,958,0,2,2,5
4388,1930,1950,840,0,1,3,5
7590,1966,1966,660,688,1,3,6
8973,1958,1991,1053,0,1,3,6
14200,1966,1966,1216,941,2,4,8
12224,2000,2000,1022,1032,2,3,7
7388,1959,2002,1327,0,1,3,7
6853,2001,2002,1296,0,2,2,6
10335,1968,1993,1721,0,2,3,7
10400,1970,1970,1682,0,2,3,7
10355,1967,1967,1214,0,2,3,5
11070,1988,1989,1959,0,3,5,9
9066,1999,2000,1004,848,2,3,7
15426,1997,1997,928,836,2,3,7
10500,1971,1971,864,0,1,3,5
11645,2005,2005,1734,0,2,3,7
8520,1952,1952,910,475,2,4,6
10335,1999,1999,1501,0,2,3,6
9100,1963,1963,1728,0,2,6,10
2522,2004,2006,970,739,2,3,7
6120,1931,1993,875,0,1,2,5
9505,2001,2001,884,1151,2,3,8
7500,2004,2005,1080,0,1,3,6
6240,1936,1950,896,448,1,3,7
10356,1975,1975,969,0,1,3,5
13891,2007,2008,1710,0,2,2,6
14803,1971,1971,1097,896,2,4,8
13500,1960,1975,1252,0,1,1,4
11340,1923,1950,1200,0,1,4,7
9600,1924,1950,572,524,1,2,5
7200,1950,1950,1040,0,1,2,5
12003,2009,2010,774,1194,2,4,8
12552,2004,2005,991,956,2,3,8
19378,2005,2006,1392,1070,2,4,9
11120,1984,1984,1232,0,2,3,6
13688,2003,2004,1572,1096,2,3,10
12182,2005,2005,1541,0,2,3,7
5500,1956,1956,882,0,1,1,4
5400,1926,2004,1149,467,2,3,5
10106,1940,1999,808,547,2,4,6
10708,1955,1993,1867,0,1,2,7
10562,2007,2007,1610,551,1,3,8
8244,2004,2004,840,880,2,3,7
16669,1981,1981,1707,0,2,2,6
12358,1941,1950,854,0,1,2,7
31770,1960,1960,1656,0,1,3,7
5306,1987,1987,1064,703,2,2,5
10197,1961,1961,1362,0,1,3,6
12416,1986,1986,1651,0,2,3,7
12615,1950,2001,2158,0,2,4,7
10029,1988,1989,1164,896,2,4,8
13650,1958,1958,1252,668,2,4,8
17423,2008,2009,2234,0,2,1,9
8520,1923,2006,968,0,1,2,5
2117,2000,2000,769,756,2,3,5
7588,1920,1950,901,901,1,4,9
9060,1957,2006,1340,0,1,3,7
11426,2003,2003,1362,720,2,3,6
7438,1908,1991,936,316,1,3,5
22950,1892,1993,1518,1518,2,4,12
9947,1990,1991,1217,0,2,3,6
10410,1916,1987,808,704,2,3,8
7018,1979,1979,1224,0,0,2,6
4923,2001,2002,1593,0,1,0,5
10570,1932,1994,1549,1178,2,3,10
7472,1972,2004,725,754,1,4,7
9017,1999,1999,1431,0,2,3,6
2522,2004,2004,970,739,2,3,7
7180,1972,1972,864,0,1,3,5
2280,1976,1976,855,601,2,3,7
9416,2007,2007,1726,0,2,3,8
25419,1918,1990,1360,1360,2,4,8
5520,1912,1950,929,929,1,5,8
9591,2004,2005,1713,0,2,3,7
8546,2003,2004,1121,0,2,2,5
10125,1977,1977,1279,0,2,3,6
7000,1924,1950,865,445,2,2,6
4438,2004,2004,848,0,1,1,3
3500,1947,1950,720,564,1,2,5
11851,1990,1990,1442,0,2,3,5
13673,1962,1962,1696,0,1,3,8
12493,1960,1960,1100,0,1,3,6
14364,1988,1989,1180,882,2,3,7
8250,1964,1964,1092,0,1,3,6
5604,1925,1950,864,0,1,2,5
10420,2009,2009,1212,0,2,3,6
8640,2009,2009,932,920,2,3,7
13568,1995,1995,990,0,1,3,5
10900,1977,1977,689,703,1,3,6
10011,1957,1996,1236,0,1,2,6
8450,2004,2004,1436,0,2,3,8
9906,1925,1950,810,518,1,3,8
15660,1939,2006,1137,817,1,3,8
3010,2005,2006,1248,0,2,2,5
8990,2006,2006,1498,0,2,2,5
8068,2002,2002,1010,1257,2,4,8
11475,1975,1975,811,741,2,3,6
10500,1971,1971,864,0,1,2,4
13472,2003,2003,2392,0,2,3,8
1680,1971,1971,630,672,2,3,6
9950,1995,1995,1214,1306,2,4,9
1869,1970,1970,483,504,1,2,5
8521,1967,1967,912,0,1,3,5
3182,2005,2006,1555,0,2,2,7
8760,1959,1959,1194,0,1,3,6
15138,1995,1996,1490,1304,2,4,9
1680,1972,1972,483,504,1,2,5
10650,1976,1976,894,0,1,3,5
7851,2002,2002,860,1100,2,4,8
1680,1971,1971,483,504,1,2,5
8773,2004,2004,1414,0,2,3,6
9453,1993,2003,1014,730,2,3,7
12030,2007,2007,1694,0,2,3,7
8741,1945,1950,798,689,1,3,7
9000,2008,2008,1566,0,2,3,7
3880,1945,1997,866,0,1,2,4
5000,1900,1950,889,551,1,3,6
10762,1980,1980,626,591,1,3,6
8880,1994,2002,1222,888,2,3,8
10400,1988,1988,1872,0,2,3,6
9142,1910,1950,908,1020,2,4,9
11310,1954,1954,1375,0,1,2,5
11317,2003,2003,840,828,2,3,8
159000,1958,2006,1444,700,2,4,7
5350,1940,1966,1306,0,1,3,6
4750,2006,2007,1625,0,2,2,5
8366,2004,2004,798,842,2,3,6
9350,1964,1991,1302,0,2,3,7
8400,1957,1957,1314,0,1,3,5
8738,1999,1999,1005,1286,2,4,8
8791,2003,2003,864,864,2,3,7
8814,2006,2006,1604,0,2,3,8
12435,2001,2001,963,829,2,3,7
12702,1956,1956,882,0,1,2,4
19296,1962,1962,1382,0,1,3,6
9588,2007,2007,1482,1092,2,3,10
8471,1977,1995,1212,0,1,3,6
5500,1929,2001,926,0,1,3,6
5232,1925,2004,764,0,1,2,4
12090,1981,1981,1422,0,2,3,7
11207,1997,1997,802,709,2,3,8
8400,1939,1997,1052,720,2,4,8
6900,1940,1955,778,0,1,2,4
7917,1976,1976,1113,0,1,3,6
10728,2006,2006,1095,844,2,3,8
39104,1954,2005,1363,0,1,2,5
11764,1999,2007,1164,1106,2,4,9
9600,1958,1988,1632,0,2,3,6
8314,1982,1982,816,0,1,2,5
7264,1925,2007,952,596,2,3,5
9196,2003,2003,1560,0,2,3,7
19138,1951,1951,864,0,1,2,4
14450,2006,2007,2121,0,2,3,8
10005,1977,1977,1156,866,2,4,8
11287,1989,1989,1175,807,2,3,7
7200,2006,2006,1262,0,2,2,5
5063,2007,2008,1314,0,2,2,6
9612,2008,2009,1468,0,2,3,6
8012,1992,1992,1575,0,2,2,5
4251,2006,2007,625,625,2,2,5
9786,1962,1981,1085,649,1,3,7
8125,1971,1971,858,0,1,3,5
9819,1967,1967,900,0,1,3,5
8730,1915,2003,698,698,1,3,7
15611,2006,2006,1079,840,2,3,8
5687,1912,2000,936,780,2,6,9
11409,1949,2008,1148,568,1,3,8
16659,1977,1994,1468,795,2,3,9
9600,1953,1953,1644,0,1,3,7
7937,1984,1984,1003,0,1,3,6
13710,1950,1950,910,648,1,4,6
7399,1997,1998,975,975,2,3,7
11700,1968,1968,1041,702,1,3,7
14000,1950,2004,1152,0,1,3,6
15750,1953,1953,1336,0,1,2,5
16226,1998,1999,1210,1242,2,4,9
13704,2001,2002,1541,0,2,3,6
9800,1972,1972,894,0,1,3,5
18386,1880,2002,1675,1818,3,3,10
10386,2004,2005,2000,0,2,3,8
13474,1990,1991,1122,1121,2,4,8
7920,1920,1950,1035,371,1,3,6
12342,1940,1950,861,0,1,1,4
12378,2003,2004,1944,0,2,3,8
7685,1993,1994,697,804,2,3,6
8000,1948,2002,972,0,1,2,5
7800,1939,1950,793,325,1,3,5
215245,1965,1965,2036,0,2,3,8
9600,1925,1990,832,809,1,3,6
7795,2004,2005,716,716,2,3,6
13005,1980,1980,1153,1200,2,4,10
9000,2006,2006,1088,871,2,3,8
9900,1993,1993,1372,1274,2,4,9
14115,1980,1980,1472,0,2,3,6
16259,2006,2006,1249,1347,3,4,9
12099,2004,2004,1136,1332,2,4,10
10380,1986,1987,1553,1177,2,4,8
5820,1955,2005,1163,0,1,3,6
11275,1967,2007,1898,1080,2,5,11
5000,1941,1950,803,0,1,2,5
10846,1993,1993,1719,0,1,1,6
11600,1960,1960,1383,0,1,3,7
11888,1916,1994,1445,689,2,5,10
6402,1920,1950,596,596,1,3,6
10624,1964,1964,1728,0,2,6,10
8176,1958,1992,1056,0,1,3,6
10655,2003,2004,1629,0,2,3,7
8198,2004,2004,1358,0,2,2,6
9042,1998,1998,943,695,2,3,7
164660,1965,1965,1619,167,2,3,7
14157,2005,2006,1922,0,2,3,8
9135,2002,2003,1536,0,2,3,7
14145,1984,1998,1621,0,2,3,8
12400,1958,1998,1215,0,1,3,6
14191,2002,2002,993,915,2,4,9
8400,1950,1950,841,0,1,2,4
8544,1949,1950,1040,0,2,2,6
8849,2005,2005,1684,0,2,2,6
2592,1976,1976,536,576,1,3,4
6435,1939,1950,972,605,1,3,6
12772,1960,1998,958,0,1,2,5
17600,1960,1960,1478,0,2,3,6
2448,2003,2004,764,862,2,2,6
20431,2005,2006,1848,880,2,4,10
7820,2007,2007,1869,0,2,2,6
5271,1986,1986,1453,0,1,2,6
9084,1941,1950,616,495,1,3,5
8520,1928,2003,720,0,1,2,5
8400,1940,2000,1192,403,1,2,6
11249,1995,1995,1200,0,2,3,6
9248,1992,1992,1167,0,2,3,6
4224,1976,1976,1142,0,1,3,6
6930,1958,1958,1352,0,1,3,6
12011,1998,1998,1086,838,2,3,7
7540,1978,1978,912,0,1,2,5
9144,1940,1982,988,517,1,3,8
7301,2003,2003,495,1427,3,4,7
1680,1972,2007,483,504,1,2,5
18800,1976,1976,790,784,2,3,6
10690,1920,1997,672,672,1,3,6
9500,1963,1963,1394,0,1,3,6
9150,1962,1962,1431,0,1,3,6
7800,1954,1954,1268,0,1,2,7
9830,1959,2006,1287,0,1,3,7
8121,2000,2000,953,711,2,3,7
17120,1959,1959,1120,468,2,4,7
7175,1984,1984,752,0,1,2,4
10634,1953,1953,1319,0,1,3,5
8200,2003,2004,847,1081,2,4,8
10020,1922,1950,904,0,0,1,4
8846,1996,1996,914,0,1,2,5
11143,2004,2005,1580,886,3,4,8
11394,2010,2010,1856,0,1,1,8
8123,2000,2000,1007,793,2,3,7
5000,1924,1950,1026,665,2,3,6
7200,2006,2006,1301,0,2,2,5
9245,2006,2006,939,858,2,3,8
9000,1928,1950,784,0,1,2,5
53107,1992,1992,1079,874,2,3,9
3182,2004,2005,1269,0,2,2,6
8410,1910,1996,658,526,1,5,8
7200,1976,1976,1125,0,1,3,6
9382,1999,2000,1479,0,2,3,6
12474,2007,2008,1742,590,2,3,9
8405,1900,1950,961,406,1,4,7
12209,2001,2002,804,1157,2,3,7
8339,1959,1959,882,0,1,3,5
7446,1941,1950,788,0,1,2,4
10134,1940,1950,735,299,1,2,5
9571,1956,1956,1144,0,1,3,6
7200,1972,1972,894,0,1,2,6
7590,1962,1962,876,936,2,4,8
8967,1920,1950,1077,0,1,2,6
8125,2006,2007,1112,438,2,2,7
14963,1996,1996,1288,0,1,1,4
8767,2005,2005,1310,0,2,3,6
10200,1940,1997,672,0,1,2,4
12090,1998,1998,1165,1098,2,4,10
10364,1995,1996,806,766,2,3,7
9991,1976,1993,1620,0,2,3,8
10480,1936,1950,1166,0,1,3,6
15576,1915,1976,840,840,2,4,8
14154,2006,2006,1071,1101,2,3,9
10800,2007,2008,1050,1028,2,3,8
9571,1958,1958,1276,0,1,3,5
34650,1955,1955,1056,0,1,3,5
4403,2009,2009,1478,0,2,2,7
8960,1927,1950,1028,0,1,2,5
11228,1993,1993,1080,1017,2,3,9
8899,2007,2007,1340,0,2,3,6
7844,1978,1978,672,728,1,3,6
22420,1918,1950,1370,1254,2,4,10
8160,1940,1950,756,378,1,3,7
8450,1968,1968,1056,0,1,3,6
7060,1997,1998,1344,0,2,2,8
16635,1977,2000,1602,0,2,3,8
21750,1954,1954,988,0,1,2,4
9200,1998,1998,1470,1160,2,4,8
9000,1956,1956,1196,0,1,2,6
3378,1946,1992,707,682,1,3,6
12800,1989,1989,1644,0,2,2,5
8593,1957,1957,907,0,1,3,5
6762,2007,2007,1208,0,2,2,6
11457,1988,1988,1412,0,2,3,6
1680,1971,1971,483,504,1,2,4
5586,1920,1998,1088,110,1,4,7
1920,1971,1971,765,600,1,2,6
10839,1997,1998,926,678,2,3,7
1890,1972,1972,630,0,1,1,3
10667,1996,1996,827,834,2,3,6
4400,1920,1950,734,384,1,2,6
6000,1926,2004,904,0,1,2,4
4280,1913,2002,694,0,1,2,4
12354,1920,2000,684,512,1,3,7
15431,2008,2008,2402,0,2,2,10
12108,1955,1955,1440,0,2,4,8
6240,1930,1992,1128,445,2,3,8
3922,2006,2007,1258,0,2,2,6
8750,1994,1995,933,975,2,4,8
9855,1956,1956,1689,0,1,3,7
16492,1966,2002,1888,0,2,2,6
11214,1998,1999,956,930,2,4,10
8600,1937,1950,780,596,2,3,7
6000,1948,2002,679,504,1,2,6
5684,1930,2005,813,0,1,2,5
70761,1975,1975,1533,0,2,2,5
9303,1996,1997,888,868,2,3,7
9000,2008,2008,786,804,2,3,6
9297,1976,1976,1728,0,2,4,8
9600,1973,1973,1242,0,1,3,6
4571,1916,1950,624,720,1,4,7
53227,1954,1994,1663,0,1,2,6
5100,1925,1996,833,833,1,3,7
7015,1950,1950,979,224,1,3,5
8004,2009,2009,832,1103,2,3,8
7200,1936,2007,575,560,1,3,6
8281,1965,1965,864,0,1,3,5
11988,1934,1995,849,811,1,3,6
8430,1978,1978,1040,0,2,3,5
3072,2004,2004,1414,0,2,2,6
10628,1970,1970,1277,0,1,2,5
9480,1942,1995,888,756,1,3,7
11428,2006,2006,1634,0,2,3,7
9291,1993,1993,832,878,2,3,7
6820,1985,1985,1502,0,1,1,4
11952,1977,1977,1161,808,2,3,8
3675,2005,2005,1072,0,1,2,5
14977,2006,2007,1976,0,2,2,7
5330,2000,2000,1652,0,2,2,6
8480,1963,1963,970,0,1,2,5
13125,1997,1998,1493,0,2,3,7
13693,2006,2006,2069,574,2,3,9
10637,2007,2008,1718,0,2,3,7
5925,1937,2000,1131,0,1,2,7
16033,2004,2005,1850,0,2,3,8
11846,2003,2004,1792,0,2,2,6
2500,1915,2005,916,910,1,4,7
4500,1998,1998,1216,0,2,2,5
7758,1962,2001,999,0,1,3,6
9600,1950,2007,1113,0,1,3,5
10289,1965,1965,1073,0,1,3,6
12243,1971,1971,1484,0,2,3,7
10800,1900,1970,1766,648,2,3,10
1526,1970,2002,630,0,1,1,3
2665,1976,1976,616,688,1,3,4
9490,1941,1950,958,620,1,3,5
15578,2006,2006,728,728,2,3,8
7931,1960,1960,1269,0,1,3,6
5784,1938,1996,886,0,1,2,4
7879,1920,1950,720,0,1,2,4
12692,1992,1993,3228,0,3,4,10
9120,1925,1950,1133,687,2,4,8
7800,1967,2004,899,0,1,3,5
7535,1958,1985,912,0,1,2,5
1890,1973,1973,672,546,1,3,7
9803,2005,2005,866,902,2,3,7
9170,1965,1965,1214,0,1,2,6
15602,1959,1997,1801,0,2,1,6
2308,1974,1974,855,467,2,3,6
7596,1952,1952,960,1000,2,4,10
9554,1993,1994,1065,846,2,3,8
7862,2009,2009,1218,0,2,2,4
9600,1928,2005,689,689,2,3,7
9600,1959,1959,1041,0,1,3,6
14559,1951,2000,1363,0,1,2,6
6792,2005,2006,1368,0,2,2,6
9100,1958,1958,864,0,1,3,5
9187,1983,1983,1080,0,1,3,5
10594,1926,1950,789,0,1,2,5
12220,2009,2009,2020,0,2,3,9
10448,1972,1972,1378,741,2,3,7
10208,1996,1997,1277,1067,2,3,7
9531,1998,1998,882,914,2,3,7
10918,1926,2004,1276,804,1,3,9
10800,1900,2000,694,600,2,3,7
11988,1957,1957,1244,0,1,3,6
5000,1947,1950,1004,660,2,3,7
40094,2007,2008,3138,1538,3,3,11
11787,1996,1997,1383,1015,2,3,8
7500,2005,2005,1266,0,2,3,6
13300,1956,2000,928,0,1,2,4
14948,2008,2008,1476,1237,2,3,11
9098,1920,2002,605,0,1,2,5
32668,1957,1975,2515,0,3,4,9
10200,1988,1989,1509,0,2,3,5
6155,1920,1999,751,611,2,3,6
7200,1955,2007,827,0,1,2,5
5000,1946,1950,334,0,1,1,2
9056,2004,2004,707,707,2,3,6
7000,1910,1991,820,527,1,3,5
8924,1998,1999,880,844,2,3,8
12735,1972,1972,864,0,1,3,5
11553,1968,1968,1159,0,1,3,7
11423,2001,2002,1601,0,2,3,6
14601,2006,2006,1838,0,2,2,8
11000,2000,2000,997,1288,2,4,8
10140,1998,1999,1680,0,2,3,7
4058,1998,1998,767,0,1,1,4
17104,2006,2006,664,832,2,3,7
13837,1988,1988,1377,806,2,4,9
8737,1923,1950,915,720,1,3,6
7244,1970,1970,768,0,1,2,5
8235,1955,1995,825,0,1,2,4
9375,2003,2004,912,1182,2,4,8
4043,1977,1977,1069,0,2,2,4
6000,1957,1957,928,0,1,3,5
11146,2006,2006,1717,0,2,3,7
8777,1949,2003,1126,0,2,2,5
10625,2003,2004,1006,1040,2,3,8
6380,1922,1950,1048,0,1,2,5
14850,1957,1957,1092,0,1,2,6
11040,1920,1950,897,439,1,3,7
21872,1996,1997,729,717,2,3,6
3196,2003,2004,1557,0,2,2,7
11341,1957,1996,1392,0,1,3,5
10010,1974,1975,1389,0,1,2,6
13907,1940,1969,996,0,1,3,6
21780,1918,1950,1163,511,2,4,8
13346,1992,2000,1166,1129,2,4,9
6858,1915,1950,841,806,1,4,6
11198,2005,2007,1134,1370,2,4,11
10171,2004,2004,1535,0,2,3,7
12327,1983,2009,1496,636,1,1,5
7032,1979,1979,943,0,1,2,4
13101,1965,1965,1728,0,2,6,10
7332,1959,1959,864,0,1,2,4
13159,2009,2009,846,846,2,3,6
9967,2000,2000,774,656,2,3,8
10500,1971,2005,576,533,1,3,5
8480,1947,1950,832,384,1,2,6
6292,1928,1950,877,600,2,3,6
11777,1966,1966,1320,0,1,3,6
3604,2007,2007,703,689,2,2,5
12150,1954,1954,1050,745,2,4,7
14585,1960,1987,1429,0,1,3,7
12704,2008,2009,2042,0,2,3,8
11841,1990,1990,816,0,1,3,5
13500,1893,2000,1521,1254,3,3,9
6120,1935,1995,989,584,1,3,6
11443,2005,2006,2028,0,2,2,7
10267,1918,2000,838,0,1,2,5
8740,1982,1982,860,0,1,2,4
25095,1968,2003,1473,0,1,1,5
9100,1930,1960,779,0,1,2,4
8320,2004,2004,770,812,2,3,6
13478,2008,2008,1728,568,2,3,10
6600,1982,2003,816,0,1,2,4
4435,2003,2003,848,0,1,1,4
7990,1975,1975,924,0,1,3,5
11302,2005,2006,1826,0,2,3,7
3600,1910,1993,684,684,1,3,7
3922,2006,2007,1402,0,0,2,7
12984,1977,1977,1647,0,2,3,7
1950,1980,1980,716,840,2,3,6
10927,2005,2005,1058,846,2,3,8
9000,1937,1950,780,595,1,3,6
10041,1992,1992,927,988,2,3,8
3182,2004,2005,600,600,2,2,4
12803,2002,2002,1494,0,2,3,6
13600,1965,1990,1186,800,2,3,7
12464,1996,1996,1040,0,1,3,6
7800,1948,2002,1112,896,3,3,8
12168,1934,1998,1940,1254,2,4,10
7943,1961,1961,1029,0,1,3,5
11050,2000,2000,1476,677,2,3,8
10395,1978,1978,1032,0,2,3,6
11885,2001,2001,1299,573,2,3,7
8402,2007,2007,1120,0,1,3,6
1491,1972,1972,630,0,1,1,3
8800,1963,1963,1054,0,1,3,6
7861,2002,2003,807,702,2,3,7
7227,1954,1954,832,0,1,2,4
11694,2007,2007,1828,0,2,3,9
12244,2003,2003,1482,780,2,4,10
8248,1914,1950,864,0,1,2,5
10800,1974,1997,1548,1066,2,4,9
7064,1977,1977,980,0,1,3,6
2117,2000,2000,756,756,2,2,4
10400,1972,1972,1012,778,1,4,8
10000,1962,1962,1116,0,1,3,5
12342,1960,1978,1422,0,1,3,6
9600,1955,1972,1520,0,1,3,7
11606,1969,1969,1040,1040,1,5,9
9020,1964,1964,1350,0,1,3,6
9000,1880,1991,1089,661,1,3,8
4590,2006,2006,1554,0,2,2,6
11900,1977,1977,1411,0,2,3,6
9250,1954,2005,1056,0,1,3,6
6979,1980,1980,1056,0,0,0,4
10896,1914,1995,1440,1440,2,8,14
6120,1936,1950,800,0,1,1,4
6000,1954,1954,811,576,2,3,7
8777,1910,1950,796,0,1,2,4
3982,2006,2006,1567,0,2,1,7
12677,2003,2004,1518,0,1,1,6
7050,2001,2001,1057,872,2,3,7
13860,1972,1995,2000,704,2,4,9
10793,1969,1969,780,840,2,4,7
9187,2009,2009,1766,0,2,2,7
10530,1971,1971,981,0,1,3,5
7200,1950,1950,1048,0,1,3,7
10452,1953,1953,1094,0,1,3,5
7700,1966,1966,1051,788,1,4,7
1936,1970,1970,630,0,1,1,3
8125,2007,2007,822,843,2,3,7
9084,1940,1950,755,755,1,4,7
8750,1996,1996,909,807,2,2,7
10320,1906,1995,756,713,1,3,7
10437,1995,1995,2113,0,2,2,7
1680,1971,1971,525,567,1,3,6
10007,1959,2006,1053,0,1,3,5
7200,1931,2000,851,651,1,3,6
17503,1948,1950,912,546,1,3,6
9937,1964,1999,1486,0,1,3,7
12384,1976,1976,1142,793,2,3,7
46589,1994,2005,1686,762,2,4,8
13560,1968,1968,1392,0,1,2,5
10012,1972,1972,1181,0,2,3,6
20896,2005,2006,2097,0,1,1,8
11194,2000,2000,1454,482,2,3,7
18450,1965,1979,1465,915,2,3,7
8125,1994,1998,1679,0,2,3,7
14175,1956,1987,1437,0,1,3,6
11600,1922,1950,1180,0,1,2,5
8633,2005,2005,738,738,2,3,7
6629,1925,1950,697,672,2,3,6
11250,1977,1977,1208,0,1,3,6
14442,1957,2004,1839,0,2,3,7
9200,1965,1965,1136,0,1,3,5
2289,1978,1978,855,586,2,3,7
9600,1900,1950,1095,679,2,4,8
9022,1924,2006,792,0,1,2,5
11844,2008,2008,2046,0,2,3,7
9945,1961,1961,988,0,1,3,5
8012,1980,1980,923,0,2,2,5
4500,1932,2000,848,672,1,3,6
2887,1996,1997,1291,0,1,2,6
11248,2002,2002,1668,0,2,3,7
16770,1998,1998,1195,644,2,4,7
5062,1984,1984,1190,900,2,3,6
10207,2007,2007,874,887,3,3,7
5105,2004,2004,551,551,2,2,4
8089,2007,2007,1419,0,2,2,7
7577,2005,2006,1362,0,2,2,6
4426,2004,2004,848,0,1,1,3
21535,1994,1995,2444,1872,3,4,10
26178,1989,1990,1238,1281,2,4,9
5400,1921,1968,1073,0,1,2,4
6120,1936,1950,1067,472,1,3,5
13811,1987,1987,1137,0,2,2,5
6000,1921,1950,616,0,1,2,4
6420,1952,1952,1148,0,1,2,6
8450,1965,2009,894,0,1,3,5
4282,2004,2004,1391,0,2,2,5
14331,2002,2002,1800,0,2,3,7
9600,1969,1969,1164,0,1,3,6
12438,2006,2006,1264,1312,2,4,10
7630,1900,1996,1032,780,2,4,8
